,transaction_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,transaction_year,transaction_month,transaction_day,address,postcode,state,property_valuation,first_name,last_name,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age,Age_group
966,967,2017-06-26,1.0,Approved,Solex,Standard,medium,medium,441.49,84.99,34071.0,2017,June,Monday,7628 Larry Trail,3428,Victoria,7,April,Causon,Female,44,Sales Associate,Manufacturing,Affluent Customer,N,Yes,1.0,23.0,20s
967,968,2017-08-28,1.0,Approved,Solex,Standard,low,medium,945.04,507.58,36361.0,2017,August,Monday,004 Lawn Trail,4227,QLD,5,Wayne,Woodfin,Male,96,Accountant IV,IT,High Net Worth,N,Yes,16.0,67.0,60s
968,969,2017-03-20,0.0,Approved,Solex,Standard,medium,large,202.62,151.96,42458.0,2017,March,Monday,42 Dahle Parkway,3806,Victoria,7,Jo,Mallinar,Female,20,Health Coach IV,Health,High Net Worth,N,Yes,18.0,44.0,40s
969,970,2017-07-11,0.0,Approved,Solex,Standard,high,medium,1024.66,614.8,34165.0,2017,July,Tuesday,1472 Meadow Vale Lane,4034,QLD,7,Kellyann,Hawton,Female,2,VP Accounting,Financial Services,High Net Worth,N,Yes,14.0,42.0,40s
970,971,2017-10-26,0.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,34071.0,2017,October,Thursday,95 Old Gate Junction,2760,New South Wales,8,Sarge,Lerohan,Male,11,Geologist I,Manufacturing,High Net Worth,N,No,22.0,34.0,30s
971,972,2017-12-17,1.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,37659.0,2017,December,Sunday,55 Fairfield Court,3175,Victoria,8,Dena,Crewdson,Female,81,Project Manager,Retail,Mass Customer,N,Yes,10.0,41.0,40s
972,973,2017-07-01,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404.0,2017,July,Saturday,92 Bunker Hill Trail,2558,New South Wales,7,Annabella,Hebron,Female,46,Data Coordiator,Health,High Net Worth,N,No,15.0,43.0,40s
973,974,2017-12-01,0.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,40336.0,2017,December,Friday,1 Boyd Junction,2460,New South Wales,1,Mellicent,Dollin,Female,92,Administrative Assistant IV,,Mass Customer,N,Yes,4.0,31.0,30s
974,975,2017-08-23,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38482.0,2017,August,Wednesday,938 Monica Park,3173,Victoria,9,Goldarina,Rzehorz,Unknown,26,Automation Specialist IV,IT,Mass Customer,N,No,,,
975,976,2017-01-10,0.0,Approved,Solex,Standard,medium,medium,1483.2,99.59,38216.0,2017,January,Tuesday,26204 Monument Alley,2289,New South Wales,8,Andonis,Slimmon,Male,10,Graphic Designer,Financial Services,Affluent Customer,N,No,10.0,51.0,50s
976,977,2017-07-14,1.0,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51,37220.0,2017,July,Friday,36 Grayhawk Plaza,2031,New South Wales,9,Olga,Dyke,Female,65,Staff Accountant III,,High Net Worth,N,Yes,13.0,63.0,60s
977,978,2017-11-11,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482.0,2017,November,Saturday,8276 Hudson Trail,2250,New South Wales,6,Erena,Escalero,Female,40,Nurse Practicioner,,High Net Worth,N,No,15.0,41.0,40s
978,979,2017-08-21,1.0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,41533.0,2017,August,Monday,3638 Starling Alley,2027,New South Wales,11,Kayla,Falkingham,Female,42,Budget/Accounting Analyst I,Manufacturing,High Net Worth,N,No,12.0,63.0,60s
979,980,2017-03-22,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,42295.0,2017,March,Wednesday,7380 Canary Pass,3111,Victoria,7,Max,Gronaver,Female,19,Registered Nurse,Health,Mass Customer,N,No,8.0,45.0,40s
980,981,2017-10-23,1.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,35378.0,2017,October,Monday,9 Debs Trail,4500,QLD,4,Bud,Smittoune,Male,0,,Retail,Mass Customer,N,No,11.0,50.0,50s
981,982,2017-01-13,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,38482.0,2017,January,Friday,82 Shasta Drive,4825,QLD,3,Tibold,Bonwell,Male,14,Geologist III,Health,High Net Worth,N,Yes,6.0,63.0,60s
982,983,2017-12-29,0.0,Approved,Solex,Standard,medium,large,1071.23,380.74,33552.0,2017,December,Friday,9 Goodland Center,4213,QLD,9,Shaylyn,Riggs,Unknown,49,,IT,Affluent Customer,N,No,,,
983,984,2017-02-11,1.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002.0,2017,February,Saturday,4 Amoth Trail,4161,QLD,6,Luciano,Weddup,Male,89,Programmer I,Manufacturing,Affluent Customer,N,No,16.0,69.0,60s
984,985,2017-08-17,1.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,37823.0,2017,August,Thursday,730 Butternut Trail,4018,QLD,4,Aryn,O'Halloran,Female,29,Help Desk Operator,Retail,High Net Worth,N,No,15.0,52.0,50s
985,986,2017-05-28,0.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,38647.0,2017,May,Sunday,21780 Service Park,2560,New South Wales,7,Barnard,Stranks,Male,3,Office Assistant I,Manufacturing,Mass Customer,N,Yes,8.0,28.0,20s
986,987,2017-11-27,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,39526.0,2017,November,Monday,00745 Huxley Center,3757,Victoria,9,Lars,Keher,Male,89,Senior Cost Accountant,Financial Services,Affluent Customer,N,Yes,11.0,48.0,40s
987,988,2017-11-24,1.0,Approved,Solex,Road,medium,small,1703.52,1516.13,40649.0,2017,November,Friday,45 Hazelcrest Junction,3073,Victoria,9,Andree,Simonato,Female,35,Director of Sales,Manufacturing,High Net Worth,N,No,7.0,42.0,40s
988,989,2017-01-08,1.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,41047.0,2017,January,Sunday,84019 Porter Trail,2871,New South Wales,3,Caralie,Morfett,Female,43,Project Manager,Financial Services,Mass Customer,N,No,17.0,41.0,40s
989,990,2017-03-31,0.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,36498.0,2017,March,Friday,64211 Laurel Alley,3141,Victoria,10,Melissa,Purple,Female,56,Administrative Officer,Manufacturing,Mass Customer,N,Yes,14.0,47.0,40s
990,991,2017-01-02,1.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,34079.0,2017,January,Monday,31369 Meadow Valley Road,4034,QLD,5,Lenna,Coales,Female,11,Financial Analyst,Financial Services,Mass Customer,N,Yes,10.0,31.0,30s
991,992,2017-05-25,1.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,36833.0,2017,May,Thursday,8298 Texas Alley,2194,New South Wales,10,Cordelia,Hawkeswood,Female,6,,Property,Mass Customer,N,Yes,8.0,64.0,60s
992,993,2017-06-23,1.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,38693.0,2017,June,Friday,1 Continental Center,2146,New South Wales,9,Reine,Semken,Female,71,Account Coordinator,Argiculture,High Net Worth,N,No,17.0,46.0,40s
993,994,2017-11-13,0.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,38216.0,2017,November,Monday,0465 Melrose Alley,2768,New South Wales,9,Rhetta,Kupker,Female,62,Librarian,Entertainment,Affluent Customer,N,Yes,5.0,45.0,40s
994,995,2017-10-05,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,38859.0,2017,October,Thursday,5357 Mcguire Plaza,3073,Victoria,9,Urbano,Mews,Male,16,Information Systems Manager,Health,Mass Customer,N,Yes,19.0,57.0,50s
995,996,2017-03-16,1.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,40779.0,2017,March,Thursday,4757 Texas Trail,3136,Victoria,9,Aura,Bemlott,Unknown,67,Assistant Manager,IT,Mass Customer,N,Yes,,,
996,997,2017-09-19,0.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,33364.0,2017,September,Tuesday,27 Sunfield Center,4869,QLD,3,Ambros,Kernes,Male,30,Teacher,Telecommunications,Mass Customer,N,Yes,13.0,41.0,40s
997,998,2017-01-03,0.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,39298.0,2017,January,Tuesday,656 Bartelt Parkway,3127,Victoria,12,Petunia,Dufton,Female,66,Speech Pathologist,Manufacturing,Affluent Customer,N,Yes,5.0,57.0,50s
998,999,2017-11-18,1.0,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,36668.0,2017,November,Saturday,610 Lakewood Gardens Point,4078,QLD,7,Dido,Leyburn,Female,12,Recruiting Manager,,High Net Worth,N,No,4.0,35.0,30s
999,1000,2017-10-15,1.0,Approved,Solex,Touring,medium,large,2083.94,675.03,41533.0,2017,October,Sunday,61 Lukken Plaza,3182,Victoria,6,Paulie,Castelot,Female,44,Compensation Analyst,Financial Services,Mass Customer,N,No,11.0,44.0,40s
1000,1001,2017-12-06,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,40618.0,2017,December,Wednesday,67 Holmberg Way,2165,New South Wales,9,Finley,Vost,Male,63,Recruiter,Retail,Mass Customer,N,No,14.0,43.0,40s
1001,1002,2017-12-14,0.0,Approved,Solex,Road,medium,large,1777.8,820.78,33455.0,2017,December,Thursday,3383 Fair Oaks Circle,3046,Victoria,8,Pacorro,De Clairmont,Male,65,Business Systems Development Analyst,,Mass Customer,N,Yes,18.0,44.0,40s
1002,1003,2017-05-31,1.0,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,39298.0,2017,May,Wednesday,2 Vermont Avenue,2066,New South Wales,12,Mariann,O'Geaney,Female,35,Paralegal,Financial Services,High Net Worth,N,No,18.0,55.0,50s
1003,1004,2017-05-16,0.0,Cancelled,,,,,205.84,,,2017,May,Tuesday,486 Atwood Pass,2065,New South Wales,12,Colas,Pumfrett,Male,35,Business Systems Development Analyst,IT,High Net Worth,N,No,22.0,47.0,40s
1004,1005,2017-06-10,0.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,38693.0,2017,June,Saturday,05 Loftsgordon Pass,4380,QLD,9,Kalila,Birtwistle,Female,94,Design Engineer,IT,High Net Worth,N,Yes,8.0,55.0,50s
1005,1006,2017-07-29,0.0,Approved,Solex,Road,medium,large,1777.8,820.78,42696.0,2017,July,Saturday,570 Butternut Pass,2340,New South Wales,4,Norbert,Gotcher,Male,15,Quality Control Specialist,Telecommunications,Affluent Customer,N,Yes,19.0,45.0,40s
1006,1007,2017-12-04,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35470.0,2017,December,Monday,63 Grayhawk Pass,2769,New South Wales,9,Cord,Warriner,Male,58,,Retail,Mass Customer,N,No,5.0,26.0,20s
1007,1008,2017-04-12,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,33429.0,2017,April,Wednesday,44594 5th Street,4220,QLD,9,Lorry,Booley,Female,47,Teacher,,Mass Customer,N,No,21.0,47.0,40s
1008,1009,2017-08-24,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784.0,2017,August,Thursday,495 Elmside Drive,2179,New South Wales,8,Nolie,Orring,Female,16,Research Associate,Manufacturing,High Net Worth,N,Yes,13.0,66.0,60s
1009,1010,2017-05-23,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,42710.0,2017,May,Tuesday,9 Macpherson Avenue,2527,New South Wales,8,Leighton,Ebbles,Male,24,Nurse,Financial Services,Affluent Customer,N,No,17.0,60.0,60s
1010,1011,2017-06-05,1.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36833.0,2017,June,Monday,738 Division Street,3024,Victoria,8,Cymbre,Janos,Female,42,Occupational Therapist,Health,High Net Worth,N,Yes,10.0,37.0,30s
1011,1012,2017-07-29,0.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,37823.0,2017,July,Saturday,5 Sheridan Circle,3934,Victoria,11,Anna-diane,Preddle,Female,20,Software Test Engineer III,,High Net Worth,N,Yes,11.0,68.0,60s
1012,1013,2017-05-29,1.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,41047.0,2017,May,Monday,42 Lunder Drive,2027,New South Wales,11,Corissa,Zienkiewicz,Female,53,Physical Therapy Assistant,Retail,High Net Worth,N,No,17.0,46.0,40s
1013,1014,2017-04-27,1.0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,36668.0,2017,April,Thursday,3 Hayes Court,3109,Victoria,10,Miller,Faloon,Male,60,Senior Developer,Property,Mass Customer,N,Yes,8.0,62.0,60s
1014,1015,2017-12-29,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,39526.0,2017,December,Friday,711 Sachtjen Point,2540,New South Wales,8,Toiboid,Sorrel,Male,7,Web Developer I,Health,Mass Customer,N,No,17.0,68.0,60s
1015,1016,2017-05-17,0.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,35160.0,2017,May,Wednesday,16395 Nevada Lane,2145,New South Wales,10,Adrian,Prettyjohns,Male,0,Legal Assistant,IT,Mass Customer,N,Yes,17.0,63.0,60s
1016,1017,2017-02-16,1.0,Approved,Solex,Standard,high,medium,1024.66,614.8,35378.0,2017,February,Thursday,0996 Cody Terrace,2761,New South Wales,8,Jacquenette,Pluthero,Female,88,Assistant Media Planner,Entertainment,High Net Worth,N,No,16.0,44.0,40s
1017,1018,2017-12-13,0.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,38206.0,2017,December,Wednesday,80424 Corben Alley,2136,New South Wales,10,Matthiew,Ferreras,Male,1,Help Desk Operator,Manufacturing,Mass Customer,N,Yes,7.0,28.0,20s
1018,1019,2017-09-04,0.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36145.0,2017,September,Monday,37208 Golf View Terrace,2145,New South Wales,8,Ignazio,Milby,Male,42,Human Resources Assistant II,Manufacturing,Mass Customer,N,Yes,14.0,49.0,40s
1019,1020,2017-02-28,1.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,37698.0,2017,February,Tuesday,1128 Golden Leaf Center,3124,Victoria,9,Natala,Thorndale,Female,29,,IT,Affluent Customer,N,No,13.0,47.0,40s
1020,1021,2017-01-26,0.0,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51,37220.0,2017,January,Thursday,4885 Stone Corner Alley,3046,Victoria,8,Elvis,Rixon,Male,16,Mechanical Systems Engineer,Retail,High Net Worth,N,No,7.0,45.0,40s
1021,1022,2017-12-08,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672.0,2017,December,Friday,66 Hudson Crossing,2153,New South Wales,10,Suzann,Wilks,Female,56,Assistant Manager,Financial Services,Affluent Customer,N,Yes,14.0,33.0,30s
1022,1023,2017-10-04,1.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36833.0,2017,October,Wednesday,5287 Wayridge Alley,2069,New South Wales,12,Iseabal,Fullbrook,Female,16,,Financial Services,Affluent Customer,N,Yes,6.0,31.0,30s
1023,1024,2017-07-12,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,36334.0,2017,July,Wednesday,15393 Cody Lane,2046,New South Wales,9,Rhodia,D'Onise,Female,17,Social Worker,Health,High Net Worth,N,Yes,2.0,30.0,30s
1024,1025,2017-10-25,0.0,Approved,Solex,Standard,medium,medium,441.49,84.99,34071.0,2017,October,Wednesday,1 Mcbride Center,2484,New South Wales,6,Ario,Jeromson,Male,69,Quality Engineer,IT,Mass Customer,N,Yes,5.0,25.0,20s
1025,1026,2017-02-22,1.0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,41848.0,2017,February,Wednesday,4870 Shelley Alley,3225,Victoria,7,Vernon,Hakking,Male,66,,Financial Services,Affluent Customer,N,No,4.0,28.0,20s
1026,1027,2017-06-23,0.0,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,38002.0,2017,June,Friday,65634 Del Mar Crossing,4053,QLD,7,Rolando,Sherewood,Male,33,Statistician I,Financial Services,Affluent Customer,N,No,18.0,56.0,50s
1027,1028,2017-07-25,0.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,41047.0,2017,July,Tuesday,8572 Melvin Drive,3145,Victoria,11,Thorn,Torfin,Male,10,Project Manager,,High Net Worth,N,No,1.0,23.0,20s
1028,1029,2017-01-09,0.0,Approved,Solex,Standard,high,medium,1024.66,614.8,35378.0,2017,January,Monday,5549 Bay Point,4068,QLD,9,Forbes,Londors,Male,71,VP Sales,,Mass Customer,N,No,4.0,26.0,20s
1029,1030,2017-12-03,0.0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,35470.0,2017,December,Sunday,9 Forest Circle,2324,New South Wales,3,Nariko,Dummigan,Female,9,Food Chemist,Health,Mass Customer,N,No,5.0,61.0,60s
1030,1031,2017-09-28,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216.0,2017,September,Thursday,6 Kedzie Hill,2214,New South Wales,9,Roi,Ogden,Male,75,Junior Executive,Manufacturing,Mass Customer,N,No,6.0,39.0,30s
1031,1032,2017-10-25,1.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,39298.0,2017,October,Wednesday,60601 Hoffman Court,2041,New South Wales,12,Maribelle,Werndly,Female,36,Executive Secretary,,Mass Customer,N,Yes,18.0,44.0,40s
1032,1033,2017-12-30,0.0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,35707.0,2017,December,Saturday,1715 Scoville Drive,2031,New South Wales,11,Jacob,Claringbold,Male,70,,,Affluent Customer,N,Yes,3.0,28.0,20s
1033,1034,2017-03-17,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586.0,2017,March,Friday,85 Laurel Trail,3809,Victoria,6,Denney,Cretney,Male,16,,,High Net Worth,N,Yes,3.0,47.0,40s
1034,1035,2017-01-07,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,41167.0,2017,January,Saturday,3082 Almo Center,2454,New South Wales,4,Kara-lynn,Doddridge,Female,77,Operator,Retail,Affluent Customer,N,Yes,5.0,46.0,40s
1035,1036,2017-09-15,0.0,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,38258.0,2017,September,Friday,27135 Melvin Plaza,4556,QLD,8,Randene,Ingle,Female,6,Paralegal,Financial Services,Mass Customer,N,Yes,12.0,53.0,50s
1036,1037,2017-12-12,0.0,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,33429.0,2017,December,Tuesday,40 Kinsman Pass,2065,New South Wales,10,Sissie,Rielly,Female,95,Human Resources Assistant II,Financial Services,Mass Customer,N,No,10.0,66.0,60s
1037,1038,2017-08-31,1.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36833.0,2017,August,Thursday,094 Green Road,2216,New South Wales,11,Fraser,Acome,Unknown,57,Engineer I,Manufacturing,Mass Customer,N,Yes,,,
1038,1039,2017-07-01,1.0,Approved,Solex,Road,medium,small,1703.52,1516.13,40649.0,2017,July,Saturday,91 Spohn Plaza,4573,QLD,7,Nona,Diamant,Female,24,,,High Net Worth,N,Yes,15.0,48.0,40s
1039,1040,2017-05-08,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,39298.0,2017,May,Monday,5 Jana Drive,4570,QLD,1,Jacenta,Wedlock,Female,78,Food Chemist,Health,High Net Worth,N,No,9.0,48.0,40s
1040,1041,2017-12-29,0.0,Approved,Solex,Standard,high,medium,748.17,448.9,37698.0,2017,December,Friday,201 Pepper Wood Avenue,2154,New South Wales,11,Free,Bonniface,Male,95,,Property,Affluent Customer,N,No,15.0,63.0,60s
1041,1042,2017-06-09,0.0,Approved,Solex,Standard,high,medium,1024.66,614.8,40303.0,2017,June,Friday,4408 Haas Way,2171,New South Wales,9,Isacco,Woodwind,Male,0,Nuclear Power Engineer,Manufacturing,High Net Worth,N,Yes,11.0,47.0,40s
1042,1043,2017-10-20,0.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,33549.0,2017,October,Friday,6 Pawling Trail,2871,New South Wales,7,Giorgi,Hurford,Male,34,Sales Associate,Financial Services,Mass Customer,N,Yes,16.0,36.0,30s
1043,1044,2017-04-01,1.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,33879.0,2017,April,Saturday,31111 Hoepker Road,3034,Victoria,9,Frederico,Whilder,Unknown,4,Food Chemist,Health,High Net Worth,N,No,,,
1044,1045,2017-11-29,0.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,34244.0,2017,November,Wednesday,79 Lighthouse Bay Lane,3082,Victoria,8,Aeriel,Everest,Female,88,,Financial Services,Mass Customer,N,Yes,19.0,37.0,30s
1045,1046,2017-06-05,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,2017,June,Monday,2354 Forster Road,2131,New South Wales,11,Shir,Clevely,Female,0,Budget/Accounting Analyst II,,Affluent Customer,N,No,11.0,67.0,60s
1046,1047,2017-04-25,0.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,39526.0,2017,April,Tuesday,5271 Vernon Court,3207,Victoria,10,Standford,Tanswill,Male,39,VP Accounting,Financial Services,Affluent Customer,N,No,11.0,44.0,40s
1047,1048,2017-08-16,1.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,36334.0,2017,August,Wednesday,06 Declaration Hill,3184,Victoria,11,Braden,Lamming,Male,99,Internal Auditor,,Affluent Customer,N,No,15.0,46.0,40s
1048,1049,2017-04-07,1.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,33549.0,2017,April,Friday,07716 5th Alley,2250,New South Wales,5,Fraser,Gaenor,Male,35,Software Consultant,Property,Mass Customer,N,No,2.0,27.0,20s
1049,1050,2017-01-07,0.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,37659.0,2017,January,Saturday,10 Pennsylvania Hill,2118,New South Wales,11,Marjie,Ghion,Female,7,Software Consultant,Telecommunications,Mass Customer,N,Yes,15.0,49.0,40s
1050,1051,2017-06-26,1.0,Approved,Solex,Standard,high,medium,1024.66,614.8,42404.0,2017,June,Monday,2330 Huxley Crossing,2570,New South Wales,10,Xylia,Lange,Female,34,Help Desk Technician,Property,High Net Worth,N,Yes,14.0,45.0,40s
1051,1052,2017-12-18,1.0,Approved,Giant Bicycles,Road,low,small,590.26,525.33,42710.0,2017,December,Monday,5811 Hanson Lane,2260,New South Wales,7,Dela,Flannigan,Female,31,Junior Executive,Financial Services,High Net Worth,N,No,3.0,37.0,30s
1052,1053,2017-10-24,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688.0,2017,October,Tuesday,7 Main Crossing,2065,New South Wales,12,Davon,Stanyland,Male,98,,Manufacturing,Mass Customer,N,Yes,8.0,61.0,60s
1053,1054,2017-12-04,1.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,33429.0,2017,December,Monday,682 Spenser Plaza,3977,Victoria,6,Natal,Matiewe,Male,27,Nuclear Power Engineer,Manufacturing,Mass Customer,N,Yes,13.0,39.0,30s
1054,1055,2017-12-23,1.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,37823.0,2017,December,Saturday,1149 Riverside Parkway,2016,New South Wales,11,Danell,Rose,Female,30,Data Coordiator,Manufacturing,Mass Customer,N,No,12.0,34.0,30s
1055,1056,2017-03-25,1.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,38991.0,2017,March,Saturday,1176 Pine View Lane,2112,New South Wales,11,Kendricks,Markel,Male,96,Software Test Engineer IV,Manufacturing,Affluent Customer,N,No,6.0,56.0,50s
1056,1057,2017-01-25,0.0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,34996.0,2017,January,Wednesday,22 Sachtjen Avenue,2137,New South Wales,12,Laryssa,Durdle,Female,73,Registered Nurse,Health,Mass Customer,N,No,5.0,54.0,50s
1057,1058,2017-07-06,1.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,37539.0,2017,July,Thursday,6 Pankratz Crossing,2228,New South Wales,11,Gretel,Gionettitti,Female,37,Research Assistant IV,Retail,Affluent Customer,N,Yes,4.0,35.0,30s
1058,1059,2017-08-16,0.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,36498.0,2017,August,Wednesday,6988 Acker Crossing,2217,New South Wales,10,Chantal,Plante,Female,68,Account Representative III,Entertainment,High Net Worth,N,Yes,6.0,55.0,50s
1059,1060,2017-06-07,0.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,37698.0,2017,June,Wednesday,9993 Mccormick Street,2223,New South Wales,8,Vanda,Boadby,Female,88,Associate Professor,Argiculture,Affluent Customer,N,Yes,13.0,61.0,60s
1060,1061,2017-07-14,,Approved,Solex,Standard,medium,medium,1483.2,99.59,34996.0,2017,July,Friday,7 Holmberg Circle,2018,New South Wales,9,Anderson,,Male,34,Speech Pathologist,Financial Services,Mass Customer,N,No,19.0,34.0,30s
1061,1062,2017-05-13,1.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,35470.0,2017,May,Saturday,7 Village Green Circle,3109,Victoria,10,Tish,Mowett,Female,32,Junior Executive,,Mass Customer,N,No,14.0,47.0,40s
1062,1063,2017-07-08,1.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,42295.0,2017,July,Saturday,4044 Tennessee Parkway,2315,New South Wales,9,Terrence,Geck,Male,22,Actuary,Financial Services,Affluent Customer,N,Yes,13.0,36.0,30s
1063,1064,2017-10-04,1.0,Approved,Solex,Standard,medium,medium,1577.53,826.51,40618.0,2017,October,Wednesday,4297 Emmet Lane,2170,New South Wales,8,Thornie,Andrusov,Male,3,Librarian,Entertainment,Affluent Customer,N,Yes,8.0,45.0,40s
1064,1065,2017-09-01,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,37659.0,2017,September,Friday,6 Sycamore Drive,4053,QLD,7,Chilton,Ghirigori,Male,8,Quality Engineer,Financial Services,Mass Customer,N,Yes,8.0,60.0,60s
1065,1066,2017-07-27,1.0,Approved,Solex,Standard,medium,large,1061.56,733.58,34170.0,2017,July,Thursday,6 Barby Road,4300,QLD,4,Hailey,Ricciardi,Male,45,Recruiter,Telecommunications,High Net Worth,N,No,12.0,27.0,20s
1066,1067,2017-11-07,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784.0,2017,November,Tuesday,37495 Summerview Park,2619,New South Wales,7,Berri,Cotillard,Female,13,Engineer IV,Financial Services,Mass Customer,N,Yes,13.0,58.0,50s
1067,1068,2017-12-11,1.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,38002.0,2017,December,Monday,3 Center Crossing,2452,New South Wales,3,Frazer,Searston,Male,5,,Health,Mass Customer,N,Yes,3.0,28.0,20s
1068,1069,2017-08-31,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,40618.0,2017,August,Thursday,19386 Burrows Way,2229,New South Wales,10,Reese,Titterington,Male,85,Web Designer I,Telecommunications,Mass Customer,N,No,15.0,47.0,40s
1069,1070,2017-07-12,1.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,39298.0,2017,July,Wednesday,4 Quincy Trail,2800,New South Wales,3,Albert,Gomery,Male,5,Account Representative IV,,Mass Customer,N,No,1.0,27.0,20s
1070,1071,2017-08-24,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216.0,2017,August,Thursday,69881 Westport Parkway,2880,New South Wales,1,Chrisy,Miranda,Male,68,,Retail,High Net Worth,N,No,1.0,36.0,30s
